post_index,text,label
1,"DANGEROUS CONDITION-IMMEDIATE THREAT at MT READ BLVD/RIDGEWAY AVE ROC - Status: WAITING, ID: ROCE2512102631  #ROC",likely-panic-language
2,"DANGEROUS CONDITION-IMMEDIATE THREAT at MT READ BLVD/RIDGEWAY AVE ROC - Status: DISPATCHED, ID: ROCE2512102630  #ROC",likely-panic-language
3,"DANGEROUS CONDITION-IMMEDIATE THREAT at MT HOPE AVE/HIGHLAND AVE ROC - Status: WAITING, ID: ROCE2512102613  #ROC",likely-panic-language
4,"DANGEROUS CONDITION-IMMEDIATE THREAT at MT HOPE AVE/HIGHLAND AVE ROC - Status: DISPATCHED, ID: ROCE2512102612  #ROC",likely-panic-language
5,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 390 NB/BRIGHTON HENRIETTA TOWN LINE RD BRI - Status: WAITING, ID: BRIE2512102580  #ROC",likely-panic-language
6,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 390 NB/BRIGHTON HENRIETTA TOWN LINE RD BRI - Status: DISPATCHED, ID: BRIE2512102579  #ROC",likely-panic-language
7,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 390 SB/BROOKS AVE MSO GAT - Status: ENROUTE, ID: GATE2512102560  #ROC",likely-panic-language
8,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 390 SB/BROOKS AVE MSO GAT - Status: DISPATCHED, ID: GATE2512102559  #ROC",likely-panic-language
9,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 490 WB/CHURCHVILLE RIGA RD RIG - Status: WAITING, ID: RIGE2512102491  #ROC",likely-panic-language
10,"DANGEROUS CONDITION-IMMEDIATE THREAT at RT 490 WB/CHURCHVILLE RIGA RD RIG - Status: DISPATCHED, ID: RIGE2512102490  #ROC",likely-panic-language
11,"Country over Party: We cannot ""recall"" Congressmen but the Democratic House needs to declare an emergency and start soliciting deeply concerned House Republicans to switch parties ESPECIALLY those who might have the consent of their constituents.That could be Districts worried about Medicaid cuts.",likely-panic-language
12,🙂‍↕️ my recs if you agree: see if your area has Neighborhood Emergency Response Team training or similar. take CPR. get Narcan trained. get gunshot wound triage trained. at least two of these can be done online,likely-panic-language
13,"After my hike today, I witnessed someone having a very serious medical situation. 
With a retired emergency response professional taking the lead, I played a small part in assisting. 
A poignant reminder to refresh first aid and cpr protocols. It saves lives.",[]
14,"At 5:55 PM CDT, 1 N Inks Lake State Par [Burnet Co, TX] Emergency Mngr reports Hail of golf ball size (M1.75 Inch). Observed near SH29 and Park Road 4. #txwx Link",likely-panic-language
15,You can learn more about the program and take the CERT online course by visiting this website: www.fema.gov/emergency-ma...,likely-panic-language
16,"The Community Emergency Response Team program educates volunteers about disaster preparedness for the hazards that may occur where they live.

CERT trains volunteers in basic disaster response skills, such as fire safety, light search & rescue, team organization, & disaster medical operations.",likely-panic-language
17,"At 5:02 PM CDT, 6 NW Scottsboro [Jackson Co, AL] Emergency Mngr reports Tstm Wnd Dmg. Corrects previous tstm wnd dmg report from 6 NW Scottsboro. Tree and power lines down. Time estimated from radar. #alwx Link",likely-panic-language
18,"At 5:02 PM CDT, 2 N Scottsboro [Jackson Co, AL] Emergency Mngr reports Tstm Wnd Dmg. Tree down that may have led to power outages in Scottsboro. #alwx Link",likely-panic-language
19,"“To address that problem, Senate Bill 31 states that a life-threatening medical emergency doesn’t need to be “imminent.” It also says doctors can terminate ectopic pregnancies…”

I guess I’ll take this rather than sepsis.",[]
20,"Actually smart, should be discouraged to bike on a main street in the dark of night unless it is an emergency. Wish we had walkable cities and more emphasis on bikes but we'll never see it in america.",[]
21,"A reminder from FLSERT. Remember:

🏡Know Your Zone, Know Your Home
📜#MakeAPlan
🎒Build a Disaster Kit
🚗Halfway Full is Halfway There
✅You only need to evacuate 10s of miles, not 100s",likely-panic-language
22,"My baby is only one week old… 👶💔 She was born under bombing.
Today, we were ordered to evacuate again. 🚨
We need $600 to buy a tent and move to another place. ⛺
All I ask for is shelter to protect her.
Please help us stay alive… 🙏

Donate 👇
gofund.me/553e5397",likely-panic-language
23,"I think I just murdered a large furry caterpillar while trying to evacuate him from our kitchen before I walked on him, great start to the morning",[]
24,"BBC: “Wildfires force Israelis to evacuate.”

TikTok comments: “The fire has a right to defend itself.”
“They said they didn’t want a ceasefire, well the fire ain’t ceasing.”
“It’s a two-sided conflict dating back generations…”",likely-panic-language
25,"🇺🇦 Hit By Drones, Ukrainian Rescuers Flee Chasiv Yar In Burning Vehicle 

But a crew managed to help their wounded comrades evacuate even as their own armored vehicle was hit and caught fire in transit.

www.rferl.org/a/ukraine-ch...",[]
26,The Secret Service detail to the VPOTUS even tried to force him to evacuate . He refused knowing if he left he would not be allowed to return and complete his constitutional duty..Instead he started working  the phones.,likely-panic-language
27,"Bit of lore about me: My wife was one of those responsible for trying to evacuate Selfridges on that day, whilst 8 months pregnant.

Yeah, he’s not our favourite person.",[]
28,"Here is something many have not thought about:  

Shackling immigrants together and packing them into airplanes could have a dire consequence if there was an emergency on board.  How would they evacuate? 

This administration just does not care about human rights.

#CECOT #HumanRights",likely-panic-language
29,"@momenalmadhoun.bsky.social’s family are displaced, they need funds to evacuate

www.gofundme.com/f/evacuate-a...",[]
30,Yes. In the event of a power failure you would be lucky if the supermarket had an emergency generator and it kicked in (they rarely did!) and that would give you time maybe to complete transactions and evacuate the store.,likely-panic-language
31,"Is there an emergency shelter bed available in Ottawa for tonight? Asking for one of my homeless peers, the federal leader of the opposition. 😥",[]
32,Sullivan's Island Police Tell Residents to Shelter in Place As They Pursue Armed Assailant luckydognews.com/sullivans-is...,[]
33,Yes. Shelter in place because SIPD is pursuing an armed assailant. He was apparently involved in a hit and run involving children and fled,[]
